first_name,sex,occurrences
Jonatan,M,2189
Ion,M,2168
Marko,M,2149
Xavier,M,2147
Kasper,M,2128
Kryspin,M,2117
Kiril,M,2113
Timur,M,2109
Paul,M,2100
Nikolas,M,2088
Danyil,M,2082
Vladislav,M,2080
Ziemowit,M,2049
Hlib,M,2047
Ginter,M,2042
Valery,M,2025
Aron,M,2019
Orest,M,2011
Matthew,M,2011
Mykhaylo,M,2008
Lev,M,1997
Werner,M,1994
Teofil,M,1958
Tytus,M,1957
Vitaliy,M,1930
Liubomyr,M,1924
Yan,M,1902
Kiryl,M,1855
Philip,M,1853
Andreas,M,1836
Alexandr,M,1833
Christopher,M,1821
Anthony,M,1820
John,M,1804
Serghei,M,1801
Ali,M,1789
Ksawier,M,1770
Serhiy,M,1742
Walerian,M,1714
Patrycjusz,M,1712
Mohamed,M,1689
Lechosław,M,1688
Sergiy,M,1688
Marco,M,1664
Heorhii,M,1660
Arsenii,M,1639
Maks,M,1624
Maxim,M,1623
Rafael,M,1606
Klemens,M,1594
Davit,M,1594
Ostap,M,1590
Fedir,M,1589
Simon,M,1577
Vincent,M,1566
Eliasz,M,1525
Jonathan,M,1492
Anatoli,M,1483
Mihail,M,1466
Damir,M,1445
Longin,M,1437
Nicholas,M,1436
Vadim,M,1435
Richard,M,1428
Brian,M,1424
Kasjan,M,1419
Ferdynand,M,1410
Wawrzyniec,M,1394
Horst,M,1391
Jacenty,M,1383
Antonio,M,1382
Erik,M,1368
Viachaslau,M,1368
William,M,1364
Myron,M,1356
Roch,M,1342
Danil,M,1312
Kosma,M,1309
Leonardo,M,1294
Jaromir,M,1281
Irakli,M,1276
Vasili,M,1275
Demian,M,1265
Lucas,M,1252
Kyryl,M,1250
Lukas,M,1249
Yahor,M,1235
Dionizy,M,1234
Sergei,M,1232
Dmitrii,M,1228
Alexandru,M,1225
Andrew,M,1205
James,M,1205
Eric,M,1203
Dennis,M,1190
Kanstantsin,M,1186
Luka,M,1185
Markus,M,1179
Radomir,M,1173
Aaron,M,1168
Łucjan,M,1165
Izydor,M,1158
Gerhard,M,1153
Eligiusz,M,1152
Ahmed,M,1152
Stanislau,M,1134
Semen,M,1125
Frank,M,1123
Diego,M,1112
Arthur,M,1106
Ewald,M,1101
Herman,M,1099
Liam,M,1096
Sergey,M,1084
Oleksiy,M,1084
Dominic,M,1074
Vasile,M,1071
Rustam,M,1069
Juan,M,1065
Mehmet,M,1060
Platon,M,1060
Roger,M,1049
Wit,M,1038
Mario,M,1036
Amir,M,1033
Joseph,M,1027
Carlos,M,1018
Nicolae,M,1014
Kirill,M,1010
Ilia,M,1003
Rodion,M,995
Jordan,M,993
Anatoliy,M,988
Mohammad,M,964
Pascal,M,960
Muhammad,M,956
Zbysław,M,951
Ievgen,M,950
Luca,M,949
Jose,M,944
Levan,M,941
Yauhen,M,936
Bazyli,M,929
Luis,M,926
Matteo,M,926
Brayan,M,922
Lasha,M,919
Francesco,M,918
Omar,M,896
Egor,M,892
Mustafa,M,887
Cyryl,M,881
August,M,877
Manuel,M,874
Alessandro,M,871
Sergiu,M,870
Aleksei,M,870
Samir,M,869
Ivo,M,868
Allan,M,865
Dumitru,M,864
Matviy,M,864
Nathaniel,M,862
Henadzi,M,855
Noah,M,853
Andrey,M,848
Alexandre,M,844
Edgar,M,839
Klaus,M,836
Konstantin,M,836
Joshua,M,831
Ian,M,829
George,M,829
Bryan,M,826
Iaroslav,M,817
Ryan,M,817
Wolfgang,M,813
Gheorghe,M,805
Henry,M,804
Karim,M,802
Felix,M,802
Bogusz,M,790
Zurab,M,784
Jakob,M,783
Roberto,M,782
Mamuka,M,780
Valeriy,M,779
Gniewomir,M,778
Iwan,M,775
Zaza,M,772
Zbyszek,M,767
Mohammed,M,764
Boris,M,763
Constantin,M,758
Cristian,M,757
Bonifacy,M,755
Kai,M,746
Dmitry,M,744
Colin,M,743
Valentin,M,743
Markiian,M,739
Dymitr,M,737
Maxymilian,M,728
Lubomir,M,727
Kristian,M,717
Dmytrii,M,717
Pablo,M,714
Gocha,M,711
Donat,M,707
Justin,M,700
Ricardo,M,700
Michal,M,698
Andrea,M,698
Danilo,M,697
Zachary,M,695
Aureliusz,M,685
Ibrahim,M,679
Matthias,M,679
Ahmet,M,678
