street,occurrences
Rondo Komitetu Obrony Robotników,1
Osiedle Podlasek,1
Plac Filaka,1
"Borysa ps. ""Pług"" dowódcy Batalionu Parasol",1
Rondo im. płk. Stanisława Piotra Hojnowskiego,1
Różyczki,1
Królowej Heleny,1
Promenada Niepodległości,1
Aleja Bolesława Chomicza,1
Pl. Sejmu Śląskiego,1
Park Załęski,1
Hodorowska,1
Sienny Rynek,1
Plac Niepodległości im. Romana Dmowskiego,1
Plac Alfreda,1
Bagnówka-Kolonia,1
Plac Oddziałów Młodzieży Powstańczej,1
Strycharskiego,1
Heveliusza,1
Rondo bł. ks. bp. Władysława Gorala,1
Wichrowe Pola,1
Urodzaju,1
Szwajcary,1
Nowa Łąka,1
Cienka,1
Schody Świętego Piotra Apostoła,1
San Francisco,1
Gawłowa,1
Rondo Grzybowo,1
Park Olimpijczyków,1
Mytnika,1
Zwięczycka,1
Kudelki,1
Plac Andrzeja,1
Zaułek Piotra Majchrzaka,1
Plac Filipa Limańskiego,1
Skali Beauforta,1
Doliny Świdra,1
Plac Ojca Józefa Nieborowskiego,1
Podcisowie,1
Planty Książenickie,1
Ochla-Folklorystyczna,1
Przylep-Skokowa,1
Drzonków-Podgórna,1
Jarogniewice,1
Ochla-Kożuchowska,1
Plac ks. Prałata A. Osipowicza,1
Kazimierza I,1
Nektarynki,1
Racula-Groszkowa,1
Racula-Ksawerego Dunikowskiego,1
Osiedle Leszczyny,1
Rondo im. ks. Stefana Morki,1
Łężyca-Liliowa,1
Przylep-Kokosowa,1
Buczyńskiej,1
Przylep-Akacjowa,1
Drzonków-Słoneczna,1
Drzonków-Grzybowa,1
Szarych Mnichów,1
Ochla-Strumykowa,1
Świetlińskiego,1
Polana Klucz,1
Łężyca-Geodetów,1
Rondo Geografów,1
Łódzka II,1
Zawada-Wrzosowa,1
Krępa-Młyńska,1
Stary Kisielin-Malinowa,1
Zawada-Papiernicza,1
Ochla-Porzeczkowa,1
skwer im. Żołnierzy Narodowych Sił Zbrojnych,1
Rozstaje,1
Nad Kamienicą,1
Nowy Kisielin-Technologiczna,1
Most Świętego Antoniego z Padwy,1
Wiadukt im. Józefa Święcickiego,1
Most Bernardyński,1
Osiedle nad Potokiem,1
zaułek Ślepego Antka,1
Bulwar Zygmunta Augusta,1
Aleja Honorowych Dawców Krwi,1
park Stanisława Moniuszki,1
nabrzeże im. Mieczysława Dutkowskiego,1
Rondo Legii Warszawa,1
Skwer im. Rotmistrza Witolda Pileckiego,1
Kudryki,1
Łapajówka,1
Skwer Mariana Sawicza,1
Rondo im. Zbigniewa Herberta,1
Ogrody Przyjaciół,1
Złotego Florena,1
"Rondo imieniem Michaliny Koniecznej ""Halina""",1
rondo Józefa Szügyi Trajtlera,1
Park Księżycowy,1
park Nad Kanałem Bydgoskim,1
skwer imienia gen. Augusta Emila Fieldorfa-Nila,1
Rondo Władysława Szpilmana,1
skwer imienia Honorowych Dawców Krwi,1
osiedle Olsztyńskie,1
osiedle Binków,1
Kontnego,1
osiedle Dolnośląskie,1
Branickiej,1
osiedle Przytorze,1
Pradolina,1
Rondo Juliusza Tarnowskiego,1
Racula-Zielna,1
Dolny,1
Drzonków-Olimpijska,1
Samorody,1
Racula-Zakole,1
Zawada-Sosnowa,1
Zatonie-Chabrowa,1
Dzięcielskiego,1
Plac Miejski,1
Szosa Świdwińska,1
Aleja Białych Brzóz,1
Plac Błogosławionego Bronisława Kostkowskiego,1
Plac Konfederatów Barskich,1
Zielony Dołek,1
Skwer im. Żołnierzy Wyklętych - Niezłomnych,1
Park Anny Jagiellonki,1
Rondo Witolda Zblewskiego,1
Mrówczyńskiego,1
Skwer Artystów Kurpiowskich,1
Danickiego,1
Rondo ks. Stanisława Głąbińskiego,1
Krasnodębskiego,1
osiedle Wolność,1
osiedle Żołnierzy POW,1
osiedle Ludwików,1
Skwer Poległych i Pomordowanych mieszkańców Jachcic w latach 1939-1945,1
Pastorówka,1
Wybrzeże im. Prezydenta Narutowicza,1
Aleja Andre Marii Ampere'a,1
bulwar Przy Katedrze,1
Rondo Skrzetuskie,1
Mieszka III Starego,1
Aleja Księdza Kraika,1
Sporacka,1
Łężyca-Ustronna,1
Ochla-Lisia,1
Zatonie-Jaśminowa,1
Łężyca-Jagodowa,1
Rondo Bernardyńskie,1
Rondo Anny Szczepanik,1
Łężyca-Dębowa,1
Rondo Kujawskie,1
Racula-Czereśniowa,1
Sopotnicka,1
Nowy Kisielin-Cedrowa,1
Ochla-Wspólna,1
Łężyca-Różana,1
Szalaya,1
Park Zamkowy,1
rondo Ofiar Katynia,1
skwer Alojzego Bukolta,1
Fryzego,1
Szlachtowska,1
Skwer Krzysztofa Komedy,1
Ochla-Szkolna,1
Skwer Ludwika Zamenhofa,1
Drzonków-Działkowa,1
Błękitne Wzgórze,1
Płatnerzy,1
Drzonków-Radosna,1
Stary Kisielin-Dworcowa,1
Drzonków-Wiewiórcza,1
osiedle 1 Maja,1
osiedle Marii Konopnickiej,1
most im. Żeglugi Bydgoskiej,1
Aleja Piastowska,1
Rondo Miasta Partnerskiego Krzemieniec,1
Plac 250-lecia,1
"Rondo im. ""Żołnierzy Wyklętych""",1
Rondo Ofiar Krwawej Środy 1942 r.,1
Rondo płk. Józefa Kleibera,1
Drzonków-Kalinowa,1
"Juszczakiewicza ""Kornika""",1
Samsonówka,1
Helenopol,1
Ludwiżanki,1
Plac Rycerza Stefana,1
Wałownica,1
Aleja Polskiego Czerwonego Krzyża,1
Kujawianka,1
Bereszki,1
Aleje Prof. Sylwestra Kaliskiego,1
Posłaniec,1
Sokołów Bydgoskich,1
Strzała,1
Bocieniec,1
Park Wrocławski,1
Ryńska,1
Park Strzelnica,1
Aleja Iberyjska,1
Zarańskiego,1
"Grupy AK ""Krybar""",1
Rozmarek,1
Rynek Kazimierza Pułaskiego,1
Aleja Spokojna,1
Szosa Lubicka,1
Meliorancka Południowa,1
Rondo 700-lecia Drawna,1
Rondo Starej Cegielni,1
aleja Kalinowa,1
Deptak ks. Stanisława Olędzkiego,1
Skwer im. Jacka Woźniakowskiego,1
Skwer Pionierów Oświaty,1
Baczynowa,1
Perspektywy,1
Alejka Bzowa,1
Skwer Czesława Kempińskiego,1
Kądziołki,1
Lutownicza,1
Bulwar Karola Musioła,1
Aleja por. Józefa Trojana-Kruka,1
Salamonów,1
Suberlaka,1
Poziemby,1
Plac im. Victora Viannay'a,1
Gonionego,1
Jaczewskiego,1
Wilczynek,1
Wieczór na Polesiu,1
Labiryntowa,1
os. Sikora,1
Park Romana Kozłowskiego,1
Maderskiego,1
Rubińskiego,1
Karszo-Siedlewskiego,1
Nad stawem,1
Plac Św. Krzyża,1
Skwer im. Stanisława ze Skalbmierza,1
Selmanowicza,1
Rondo imienia Adama Lazarowicza,1
Osiedle Złote,1
Skwer Lwowski,1
Most Zygmunta Starego,1
wiadukt Antoninek im. Orląt Lwowskich,1
Aleja Józefa Czapskiego,1
Gorala,1
Skwer przy Małym Rynku,1
Knybawska,1
Skwer 770-lecia Powidza,1
Ogród Miejski im. Partnerstwa z Nottuln,1
Park prof. Gerarda Labudy,1
Rondo Sportowców,1
Plac ks. Kanonika Jana Gdaka,1
Bohaterów Akcji Bollwerk,1
Kropla Bałtyku,1
Huraganowa,1
Rondo im. Bohaterów Bitwy pod Węgrowem 3 Lutego 1863 r.,1
Rondo Ratuszowe,1
Wierusza,1
Skwer Wyszehradzki,1
"Bednarczyka ""Adama""",1
Pogodnych Poranków,1
Marina Solna,1
Aleja Ruchu Młodzieży Niezależnej,1
Most Zesłańców Sybiru,1
Plac Profesora Stefana du Chateau,1
Piaczyńskiego,1
Kębłowicka,1
Most Płockiego Czerwca 1976 r.,1
Rondo Sławskie,1
Baszkowskiego,1
Plac Augustyna Necla,1
Wiry,1
Sławicka,1
Pasaż Adama Englerta,1
Soświca,1
Osiedle Unii Lubelskiej,1
Rybakówka,1
Bartosika,1
Aleja Stefana Kardynała Wyszyńskiego,1
Bulwar Piotra Łazarkiewicza,1
Zielona Laguna,1
Skwer Pionierów Koszalina,1
Chrząszczyńskiego,1
Wiatrowska,1
Senny,1
Skwer Kolejarzy,1
Plamitzera,1
Krafczyka,1
Zrzeszenia Wolność i Niezawisłość,1
Rondo Ronneby,1
Wzgórze Księżniczki Gertrudy,1
Spinningowa,1
Rylskich,1
"Grupy AK ""Kampinos""",1
Hyca,1
Rachowska,1
Plac ks. Stanisława Hundta,1
Innowatorów,1
Rondo ks. Edwarda Kopra,1
Winnicy,1
Pod Parkiem,1
Park Imienia 5 Dywizji,1
Boromeusza,1
"Rondo Żołnierzy Niezłomnych ""Wyklętych""",1
Rondo Mansweta Śmigielskiego,1
Skwer Franciszka Pieniaka,1
Oblaszki,1
Do Zatoki,1
Skwer Świętego Jana Pawła II,1
Kijewskiej,1
Bulińskiego,1
Stanowicza,1
Nitowa,1
Plac Vlotho,1
Skwer im. Honorowych Dawców Krwi,1
Żelezika,1
Spawalnicza,1
Barke,1
Gospodarności,1
Chopina Fryderyka,1
Aleja Zamkowa,1
Kołomyjska,1
Grabowieckiego,1
Aleja Przyszłości,1
Księstwa Gniewkowskiego,1
"Skwer imienia Danuty Siedzikówny ""Inki""",1
Rondo Miasta Partnerskiego Saint-Germain-en-Laye,1
Aleja Szucha,1
Rondo Ofiar Obławy Augustowskiej w Lipcu 1945 roku na Suwalszczyźnie,1
Porozumienia Jastrzębskiego,1
Szelest,1
Aleja ks. Władysława Zakrzewskiego,1
Kostyszyn,1
Otyniecka,1
Januszewskiego,1
Zagóry,1
Osiedle Łukaszewko,1
Bohaterów Września 1939,1
Aleja Zachodnia,1
Nakoniecznikoffa,1
Kościelnisko,1
Skwer Orląt Lwowskich,1
Kurzypińskiego,1
Skwer Zofii i Zygmunta Hertzów,1
Skwer Świętej Siostry Faustyny Kowalskiej,1
Rondo Pionierów Ziemi Goleniowskiej,1
Skwer Rudolfa Virchowa,1
Plac von Garnier,1
Gary,1
Nad Babinką,1
Żołnierzy Niepodległej,1
Nad Starynką,1
Aleja Szczupakowa,1
Chrzana,1
Stycznia 1919 r.,1
Heinricha,1
Grossków,1
Osiedle Perłowe,1
Bulwary Chatellerault,1
Osiedle Gawrony,1
"Franczaka ""Lalka""",1
Jeżowskiego,1
Rondo Macierowe Bagno,1
Zaratajka,1
Kureckiej,1
Plac Pisarzy Polskich,1
Rondo ks. Stanisława Witkowskiego,1
"Szwajkerta ps. ""Jędruś""",1
Rondo Jana Balcera,1
Aleja Kasyna Gostyńskiego,1
Potworowskich,1
Szei,1
Plac im. Władysława Gąski-żołnierza września 1939 roku,1
Gierlińskiego,1
Duble,1
Rondo Ryszarda Kossobudzkiego,1
Park im. gen. Augusta Fieldorfa-Nila,1
Rondo im. 5 Pułku Strzelców Konnych,1
Powstańców 1863r.,1
Ormiański,1
ELWRO,1
Skwer Straży Obywatelskiej 1939 r.,1
Plac Pomorski,1
Skwer im. Doktora Longina Tarnawskiego,1
Scheitzy,1
Rondo im. kpt. Władysława Koby,1
Twierdza,1
Trockiego,1
Wronina,1
Osiedle Nałęczyn,1
"Rondo mjr. Zygmunta Szendzielarza ""Łupaszki""",1
Park Sensoryczny - Rydułtowska Odprężalnia Sensoryczna Rosa,1
Łojasiewicza,1
Gościnności,1
Aleja Ks. Prałata Józefa Cieśli,1
Droga w Polu,1
Łysego,1
Polanowicka Północna,1
Hilgendorfa,1
Osiedle gen. Władysława Sikorskiego,1
Plac św. Piotra,1
Orlovska,1
Rondo Biznesu,1
Plac Pamięci Rodła,1
Ostowa Północna,1
Szczygłowskiego,1
Zwierza,1
Kowarzyka,1
Bernatówka,1
Kosewskiego,1
Krzywa Wieś,1
Koziańskie,1
Rondo Larysy Ewy Krause,1
Rzeczpospolitej Partyzanckiej 1944,1
Zalana Łąka,1
Pułku Lotnictwa Myśliwsko - Bombowego,1
Przy Trakcie,1
Czapielska,1
Aleja Beaty Obertyńskiej,1
Skwer Wasyla Stusa,1
Macionia,1
Nowe Borki,1
Mastejów,1
Rondo Miasta Partnerskiego Grasse,1
Trzebniki,1
Wolfram,1
Misztala,1
Różaniecka,1
Chabowskiego,1
Skwer Igora Newerlego,1
Bratkówka,1
Pułku Piechoty Legii Akademickiej,1
Dolina Ciemięgi,1
Osiedle 800-lecia Miasta Piotrkowa Trybunalskiego,1
Bojakowskiej,1
Mularska,1
Amarylisowa,1
Ligudy,1
Osiedle Pod Lipami,1
Reichera,1
Malinkowa,1
Żołnierzy 8. Dywizji,1
Plac Bohaterów Powstania Warszawy,1
Sznarbacha,1
Gradowskiego,1
Kalenika,1
Cichociemnych - Spadochroniarzy Armii Krajowej,1
Hetmana,1
Wola Kocikowa,1
Rondo im. Powstańców Listopadowych,1
Makowe Łąki,1
Płosa,1
Osiedle Horyzont,1
Cezowa,1
Plac Staszica,1
Rondo im. Augustyna Szpręgi,1
Adlerowiec,1
Skwer Księdza Paula Sawatzke,1
Prodnia,1
Żołnierzy Dywizji Kościuszkowskiej,1
Milana-Kamskiego,1
Zaskalskie,1
Wiatraków,1
Leśnej Paproci,1
Aleja Migdałowa,1
Biała Woda,1
Pingwinów,1
rondo im. Jana Karskiego,1
Żydowskiego,1
Parytetyczna,1
skwer Ady Rusowicz,1
Dywizji Zmechanizowanej,1
Zacisze Morskie,1
Kramkowska,1
Park w Dąbrówce,1
Rondo Ignacego Łukasiewicza,1
Czabana,1
Plucińskiego,1
Folwark Wesoła,1
Pogranicza,1
Borsiga,1
Skwer Konstytucji 3 Maja,1
Aleja Kwiatkowskiego,1
Aleja Królewska,1
Halitowa,1
Cytrynu,1
Skwer Esperanto,1
pl. Jana Metziga,1
Skwer Bohaterów Zadwórza 1920,1
Rondo Fablokowców,1
Rondo Prezydenta Ryszarda Kaczorowskiego,1
Arczewskiego,1
Chodury,1
Rondo Kompanii Młodzieżowej AK,1
Kielbicha,1
Plac Wojciecha z Brudzewa,1
Saramy,1
Pułtuskiego Batalionu Saperów,1
Jurowa,1
Gruszczyńskiej,1
wiadukt Kosynierów Górczyńskich,1
Tunel Łomżyński,1
Męczkowska,1
Rondo 100-lecia Pruszkowa,1
Pieńkawy,1
Rondo im. Czesława Wasielewskiego,1
Krempy,1
Aleja Burmistrza Adolfa Barona,1
Pawlusa,1
Korpusa,1
Odwet-Jędrusie,1
Gogołowska,1
Trakt kaliski,1
Aleja Niezależnego Zrzeszenia Studentów UMK,1
Korytarzowa,1
Bagniakowa,1
Skwer Kazimierza Ożgi,1
"Skwer imienia Danuty Siedzikówny ps. ""Inka""",1
Rondo św. Jana Nepomucena,1
Batalionu Parasol,1
Kojro,1
Zaułek Krzysztofa Kamila Baczyńskiego,1
Truskawkowy Zakątek,1
pl. Powstańców,1
Rondo Ofiar Faszyzmu,1
Krucza Polana,1
Strahla,1
Kahla,1
Usteckie,1
Tunel Katowicki,1
Szołdry,1
Hechlińskiego,1
Szymichowskiego,1
rondo im. 27 Wołyńskiej Dywizji Piechoty AK,1
Siedzikówny ps. Inka,1
Skwer Pamięci im. Rotmistrza Witolda Pileckiego,1
Łyczakowska,1
Zalipki,1
Gazeli,1
Wiśniowy Ogród,1
Kobylaki,1
Prądno,1
Leśny Brzeg,1
"Lisieckiego ""Dziadka""",1
Park Antona Uthemanna,1
Plac świętego Jana Pawła II,1
Cieliczanka,1
Skwer Obrońców Grodna 1939,1
Bereśnik,1
Sarkowa,1
Huty Julia,1
Latyńska,1
Plac Josepha von Eichendorffa,1
Osiedle Wrocławskie,1
Jeziorkowo,1
Olimpu,1
Średniak,1
Rondo Władysława Nawrockiego,1
Nad Grajcarkiem,1
"Rondo im. ""Inki"" sanitariuszki AK",1
Piętaka Stanisława,1
Gerpe,1
Kurasia Ferdynanda,1
rondo Toruńskich Olimpijczyków,1
Zaułek Tadeusza Gajcego,1
Koryckiego,1
Osiedle Marynarzy,1
aleja Tysiąclecia,1
Dolina Skawy,1
Plac Przyjaciół z Miszkolca,1
Bitwy Gorlickiej,1
Gawryłowa,1
Talesa,1
Rondo im. Jana Darowskiego,1
Park Świętego Jana Pawła II,1
Palicy,1
Podhajce,1
Glowska,1
Park Legionów,1
Baystaka,1
Buchna,1
Bulwar im. Feliksa Kruschego,1
Klonów,1
Rogalewicz,1
Barnima II,1
Promenada Przyjaźni,1
Rawęskiego,1
Rosochatki,1
Rondo Obrońców Westerplatte,1
Osiedle Góra Hugona,1
"Pasaż ppłk prof. Zbigniewa Kabaty ps. ""Bobo""",1
Plac Świętego Józefa Robotnika,1
Kruhlik,1
Osiedle Generała Władysł.Sikorskiego,1
Aleja Platynowa,1
Plac Ducha Świętego,1
Aleja Józefa Mireckiego,1
Osiedle Władysława Reymonta,1
Za zakrętem,1
Isaaca,1
Rondo im. Karola Kreffta,1
Bańdury,1
Skwer Polaków poszkodowanych przez III Rzeszę,1
Rondo Theodorusa Raben,1
Taborówka,1
Osiedle Andrzeja Struga,1
Hejnalisty,1
Osiedle WSK,1
Indonezyjska,1
Kombatantów Rzeczypospolitej Polskiej,1
Podgranicze,1
Nowe Bechcice,1
skwer Komitetu Obrony Robotników,1
Zimorowica,1
plac dr Stefana Kamińskiego,1
Teklomirska,1
Wysińska,1
Plac ks. Franciszka Blachnickiego,1
Makarskiego,1
Dobrosąsiedzka,1
Porta,1
Gawroniec,1
Warlowska,1
Rondo Zagórze,1
Bulwar Zbigniewa Religi,1
Rigola,1
Aleja ks. Janusza Stanisława Pasierba,1
"Skwer Bazy Lotniczej AK ""Łużyce""",1
Aleja Emmendingen,1
Marka z Jemielnicy,1
Rondo Nadmorskie,1
rondo Obrońców Grodna,1
Rondo Jantarowe,1
Poznańskich Ogrodników,1
Skwer Biskupa Antoniego Adamiuka,1
Rondo Władysława Kędzierskiego,1
Płanki,1
Sznajdrowicza,1
Chwalimska,1
Mamuszków,1
Radomicka,1
Pagóry,1
Sarniak,1
Skwer im. Gołyńskich,1
Rondo Andrzeja Harata,1
Rustejki Pińkiewicza,1
Aleja Plutonowego Wincentego Kamińskiego,1
Planty Śląskie,1
Lipca 1943,1
Obwodnica Staromiejska,1
Stare Wierzby,1
Rachwał,1
Pohoskiego,1
Matki Teresy,1
Na Kotowcu,1
Getta Wieruszowskiego,1
Rafaczówki,1
Drukowszczyzna,1
Rondo Niezależnego Zrzeszenia Studentów,1
Plac Górny,1
Benszówny,1
Potok Rudnika,1
Rosowska,1
Jaćmierska,1
stycznia 1999,1
"mosty im. ""Solidarności""",1
Szelągowski,1
Trakt Świętej Kingi,1
Plac Pamięci Żydów Bielskich,1
Rondo por. Stefana Bronarskiego ps. Liść,1
Skaryszewski im. Ignacego Paderewskiego,1
Ballenstedta,1
Orląt Łańcuckich,1
Baldego,1
Pałaca,1
Zbrodzicka,1
Aleja Jesienna,1
Podwiatrówki,1
Plac Koncertów Porannych,1
Sotowiec,1
Zimne Wody,1
St.Bełżyńskiego,1
Ukryty Raj,1
Szykowna,1
Papowska,1
rondo Łódzkich Motocyklistów,1
Rondo Lotników Polskich,1
Plac Przyjaźni Polsko-Węgierskiej,1
Kawkowizna,1
Plac Bohaterów Armii Krajowej,1
Węzeł im. Antoniego Jasińskiego,1
Skwer Jana Antoniego Strzeleckiego,1
"Związku Młodzieży Wiejskiej ""Wici""",1
Englera,1
Plac Kurdeszowy,1
Rondo Powiśla,1
"Rondo ""Portowe""",1
Braci Pomarańskich,1
Kucharzówka,1
Krzyż Powstańczy,1
Nowy Czekaj,1
Kokarda,1
Skwer Karlika z Kocyndra,1
Na Brandyskę,1
Róży Polnej,1
Rondo im. Księdza Infułata Antoniego Liedtke,1
Bernatta,1
Wuja Klemensa,1
Aleje Zygmunta Krasińskiego,1
Gietki,1
Królowej Korony Polskiej,1
"Stachury ""Adama""",1
Koński Kierat,1
Kolorowych Domów,1
Wojdana,1
Osiedle nad Uszwicą,1
Wolgast,1
Berech,1
Brzoski,1
Würtha,1
Przy Rzece,1
Kajmowska,1
Kielary,1
Arakowa,1
Saint - Amand - Montrond,1
Pankiewiczów,1
Kotuńska Droga,1
Rondo marsz. Ferdynanda Focha,1
Białe Żagle,1
Wzgórze Barbary,1
Gumińskich,1
Pastorczyk,1
Park na Górze Redena,1
Plac bł. ks. Michała Sopoćki,1
Rondo gen. Ludwika Kmicic-Skrzyńskiego,1
Rondo Ku Morzu,1
Rondo Borowinowe,1
Plac Broel-Platerów,1
Plac ks. kan. Tadeusza Kozłowskiego,1
Skwer Lecha Kaczyńskiego,1
Rondo Solankowe,1
Bilitewskiego,1
Kutznera,1
Przy Łowisku,1
Hoovera,1
Źródła Olechówki,1
Rondo Imienia Lecha Kaczyńskiego,1
Bodzanowicka,1
Radwańskich,1
św. Klary z Asyżu,1
Ptasia Aleja,1
Osiedle Dzikowiec,1
Noblistów Śląskich,1
Plac Dunikowskiego,1
Dłucika,1
Rondo Jonasza Kofty,1
Plac Bernarda Poloka,1
Skwer Saski,1
Plac Jana Henryka Dąbrowskiego,1
Na Pętli,1
Zasadzina,1
"Skwer Stefana Kisielewskiego ""Kisiela""",1
Nad Utratą,1
Bulwary Ireny Sendlerowej,1
Most im. J. Piłsudskiego,1
Kolonia Nowa,1
Gucińska,1
Rondo Tomasza Florkowskiego,1
Mała Rekreacyjna,1
Nad Kople,1
Mikołaja z Koźla,1
Skwer Richarda Holtzego,1
Tulipana,1
Panoramy Ślężańskiej,1
Świerca,1
Apatora,1
Przylesie II,1
Rondo im. Doktora Stefana Bartusia,1
Rondo Jadwigi Barszczewskiej,1
Kurobie,1
Ogrody Bielawy,1
Friszke,1
Bieszkowicka,1
Osiedle Legionów Henryka Dąbrowskiego,1
Machulskiego,1
Rozrażewskiego,1
Parcel,1
Skwer Polskich Sprawiedliwych Wśród Narodów Świata,1
Belona,1
Grzanki,1
Plac Makusynów,1
Indyka,1
Bajdy,1
Fosfogipsowa,1
Dusznickich Orląt,1
Rondo gen. Charles'a de Gaulle'a,1
"Skwer kpt. Stanisława Skibniewskiego ""Cubryny""",1
Logiczna,1
Rondo Węgierskie Mezőkövesd,1
Podokólne,1
Na Orlej,1
Pawlikowskiej - Jasnorzewskiej,1
Długoszowskich,1
Kulmów,1
"Skwer mjr. Bolesława Kontryma ""Żmudzina""",1
Dul,1
Tomaszunasa,1
Pętla Słoneczna,1
Osiedle na Wspólnej,1
Skwer Gustawa Holoubka,1
Onyszkiewicza,1
"Batalionu AK ""Oaza""",1
Poczobutta-Odlanickiego,1
Mydlarskiego,1
Aleja Księcia Józefa Poniatowskiego,1
"Skwer Grupy AK ""Granat""",1
Sampowska,1
Skwer Edwarda Woyniłłowicza,1
Gibasiewicza,1
Trakt Józefa Kłoczowskiego,1
Kuczewska,1
Szaykowskiej,1
Mandyća,1
Gościniec Niborski,1
Rondo im. Przewodników Malborskich,1
"Skwer 7 Pułku Piechoty AK ""Garłuch""",1
Tylna Mariacka,1
Skwer Anny Krzywańskiej,1
Rynek Imieniem Stefana Kardynała Wyszyńskiego - Prymasa Polski,1
Do Cmentarza,1
Kollmanna,1
Rondo 10 Pułku Ułanów Litewskich,1
Rondo ks. Wojciecha Pełkowskiego,1
Rondo Mikołaja Kawelina,1
Plac Mordechaja Tenenbauma,1
Staroleska,1
Wydmuchowo,1
Czmońska,1
Koleżeńska,1
Amerykana,1
Borzęckiego,1
Skwer Arkadiusza Rybickiego,1
"Sołtysiaka ""Barabasza""",1
"Kruszelnickiego ""Wilka""",1
Artwińskiego,1
Rondo László Osvátha,1
Plac Xawerego Dunikowskiego,1
Wiślanych Pól,1
Ligi Morskiej i Rzecznej,1
Roźwienicka,1
Skwer 1 Dywizji Grenadierów - Francja 1940,1
Plac Thomasa Woodrowa Wilsona,1
Bolívara,1
"Pułku AK ""Baszta""",1
Leśny Jar,1
Aleja Jarzębinowa,1
Na Moroniu,1
Rondo Olgi Zawadzkiej,1
Olszyk,1
Serdeckiego,1
Bulwar Tadeusza Kielanowskiego,1
Rondo św. Faustyny Kowalskiej,1
Skwery Tamary Sołoniewicz,1
Szwaby,1
Plac Marii i Józefa Markowiczów,1
Mackiewicz,1
Studa Wybudowanie,1
Odrowców,1
Wierzbianki,1
Locciego,1
Słoneczna Przystań,1
Mazowieckiej Szkoły Podchorążych Rezerwy Artylerii,1
Kostiala,1
Rondo Jana Himilsbacha,1
Pod Strażnicą,1
Pętla Tysiąclecie,1
Horolna,1
Dziadka Janka,1
Partnerstwa Powiatów,1
Brunona z Kwerfurtu,1
Skwer im. Tadeusza Zastawnika,1
Piękne Widoki,1
Dobrej Inwestycji,1
Dąbkowizna,1
Rondo ks. Jana Dybowskiego CR,1
Chmielnicka,1
Sobieszczyka,1
Aleja Mariana Brandysa,1
Skwer Artystów Grupy Janowskiej,1
Bederowiecka,1
Dolina Pasłęki,1
Estakada Orląt Lwowskich,1
Gwiazda,1
Rondo Flagi Polskiej,1
Park na Janowie,1
Skwer ks. Franciszka Nogalskiego,1
Park na Smulsku,1
Redarowska,1
Roli,1
Rodziny Balków,1
Rondo Kresów II Rzeczpospolitej,1
Dahlbergha,1
Park Miłości im. dr Michaliny Wisłockiej,1
Szczerbowskiego,1
Rondo Miasta Celle - Niemcy,1
Rondo Miasta Olofström - Szwecja,1
Kociewskie,1
Pluchy,1
Przywodna,1
Fludry,1
Rondo Aleksandra Małachowskiego,1
Skwer im. Księdza Prałata Konstantego Rejchla,1
Zaułek Braci Pakulskich,1
Rondo Powstania Węgierskiego'56,1
Aleja Jana Chrystiana Szucha,1
Alighieri,1
Most Jana Himilsbacha,1
Gościcińska,1
Most Fordoński im. Rudolfa Modrzejewskiego,1
Plac Księdza Walentego Dąbrowskiego,1
Nowy Dom,1
Natalii-Świat,1
Unieszewska,1
Kresów II RP,1
Na Wilkowo,1
Rondo Księdza Kazimierza Pielatowskiego,1
Plac Wrzosowy,1
Osiedle Wschód,1
Błotnickich,1
Księdza Londzina,1
Rondo Arcybiskupa Ignacego Tokarczuka,1
Orlikowskiego,1
Rondo 20 Pułku Piechoty Ziemi Krakowskiej,1
Wrzesińskiego,1
Aleja mjr. Krzysztofa Woźniaka,1
Wiznera,1
Rondo Gwarków,1
Rondo Akademickie,1
Popiełuszko,1
Al. 1000-lecia Państwa Polskiego,1
Kobierskiego,1
Plac Księdza Brzóski,1
Rondo Brygady Syberyjskiej,1
Chełmońskiego - Deptak,1
Prejznera,1
Izajasza,1
Aleja Kalin,1
Jaśkowa,1
Maruszewska,1
Skwer gen. Stefana Grota-Roweckiego,1
Rondo Aleksandra Chodkiewicza,1
Łuczkiewicza,1
Księdza Brzuski,1
May'a,1
Dworniczak,1
Aleja Romana Dmowskiego,1
Wieniawa,1
Niecodzienna,1
Rondo Bojkowskie,1
Zamokradle,1
Rondo Generała Andersa,1
Rondo mjr. Antoniego Wiszowatego,1
Do Modrzewi,1
Skarbka-Malczewskiego,1
Kasperowicza,1
Park Ułanów,1
Stagrowskiego,1
Park Kanonierów,1
Gądzio-Kos,1
Sernikowa,1
Grubeckiego,1
Serafiny,1
Jaśminy,1
Stara Karolina,1
Stycznia 1920 r.,1
Matuszka,1
Kubeckiego,1
Wentylacyjna,1
Plac im. Ojca Adama Studzińskiego,1
Aleje Konstytucji 3 Maja,1
Most Retmański,1
Karnasa,1
Górskiego Ochotniczego Pogotowia Ratunkowego,1
Pl. Kościeleckich,1
Grussa,1
Pod Ciemną,1
Forsterów,1
Drybańskiego,1
Haasego,1
Plac Ofiar Katastrofy Smoleńskiej,1
Osiedle Błękitny Staw,1
Most Legionistów Suskich,1
Trzech Brzózek,1
Łakina,1
Smorawskiego,1
Lerczakówny,1
Hryniewicka,1
Sondeja,1
Licznikowa,1
Śnieżycowa,1
Aleja Stanisława Mikołajczyka,1
Montwiłłowska,1
Kostaneckiego,1
Estakada im. Jacka Kaczmarskiego,1
Plac Rozstrzelanych,1
Frassinettiego,1
